Date,Id,Nominal,Value,VunitRate
21.05.2021,R01035,1,"103,9904","103,9904"
22.05.2021,R01035,1,"104,4104","104,4104"
25.05.2021,R01035,1,"104,0916","104,0916"
26.05.2021,R01035,1,"104,0466","104,0466"
27.05.2021,R01035,1,"103,9506","103,9506"
28.05.2021,R01035,1,"103,8549","103,8549"
29.05.2021,R01035,1,"104,4567","104,4567"
01.06.2021,R01035,1,"103,8978","103,8978"
02.06.2021,R01035,1,"103,9291","103,9291"
03.06.2021,R01035,1,"103,8893","103,8893"
04.06.2021,R01035,1,"103,8072","103,8072"
05.06.2021,R01035,1,"103,4236","103,4236"
08.06.2021,R01035,1,"103,0347","103,0347"
09.06.2021,R01035,1,"102,9317","102,9317"
10.06.2021,R01035,1,"102,2280","102,228"
11.06.2021,R01035,1,"101,7334","101,7334"
12.06.2021,R01035,1,"101,4554","101,4554"
16.06.2021,R01035,1,"101,3259","101,3259"
17.06.2021,R01035,1,"101,6304","101,6304"
18.06.2021,R01035,1,"101,4270","101,427"
19.06.2021,R01035,1,"100,3808","100,3808"
22.06.2021,R01035,1,"101,2704","101,2704"
23.06.2021,R01035,1,"101,4594","101,4594"
24.06.2021,R01035,1,"101,5232","101,5232"
25.06.2021,R01035,1,"101,1334","101,1334"
26.06.2021,R01035,1,"100,3660","100,366"
29.06.2021,R01035,1,"100,3342","100,3342"
30.06.2021,R01035,1,"100,1994","100,1994"
01.07.2021,R01035,1,"100,6346","100,6346"
02.07.2021,R01035,1,"100,6066","100,6066"
03.07.2021,R01035,1,"101,3271","101,3271"
06.07.2021,R01035,1,"101,5953","101,5953"
07.07.2021,R01035,1,"101,5100","101,51"
08.07.2021,R01035,1,"102,2074","102,2074"
09.07.2021,R01035,1,"103,6115","103,6115"
10.07.2021,R01035,1,"102,6386","102,6386"
13.07.2021,R01035,1,"103,5541","103,5541"
14.07.2021,R01035,1,"102,6308","102,6308"
15.07.2021,R01035,1,"102,6982","102,6982"
16.07.2021,R01035,1,"102,6904","102,6904"
17.07.2021,R01035,1,"102,7119","102,7119"
20.07.2021,R01035,1,"102,0329","102,0329"
21.07.2021,R01035,1,"101,8143","101,8143"
22.07.2021,R01035,1,"101,4618","101,4618"
23.07.2021,R01035,1,"101,2857","101,2857"
24.07.2021,R01035,1,"101,3106","101,3106"
27.07.2021,R01035,1,"101,8773","101,8773"
28.07.2021,R01035,1,"101,7465","101,7465"
29.07.2021,R01035,1,"102,0954","102,0954"
30.07.2021,R01035,1,"102,1811","102,1811"
31.07.2021,R01035,1,"102,2042","102,2042"
03.08.2021,R01035,1,"101,6888","101,6888"
04.08.2021,R01035,1,"101,4238","101,4238"
05.08.2021,R01035,1,"101,3541","101,3541"
06.08.2021,R01035,1,"101,7767","101,7767"
07.08.2021,R01035,1,"101,7683","101,7683"
10.08.2021,R01035,1,"101,8965","101,8965"
11.08.2021,R01035,1,"102,0117","102,0117"
12.08.2021,R01035,1,"102,2406","102,2406"
13.08.2021,R01035,1,"102,0229","102,0229"
14.08.2021,R01035,1,"101,3842","101,3842"
17.08.2021,R01035,1,"101,7580","101,758"
18.08.2021,R01035,1,"101,4767","101,4767"
19.08.2021,R01035,1,"101,0855","101,0855"
